c,time,vx,vy,V_net,dx,dy,dnet,ent,delta_entropy,div,delta_div,curl,delta_curl,theta,delta_theta,percent_contact,delta_area,aruco_vel_y,ee_vel_z,v_norm,updated_vx,updated_vy,updated_vnet,ground_truth
115,0.080631971359253,4.79251714809876,19.9494542854979,20.5170404031379,39.6716439098396,209.049892275968,216.074583622463,1291.53827066515,-302.572966399761,0.225898679003737,-0.766145001051623,0.011119755352701,-0.210043032923528,0.964387036168518,-17.0464386179501,0.324947916666667,-0.883321555118595,0,72.788861165928,0,4.868143695436215,8.235160503819827,13.471145812624894,72.788861165928
116,0.080170869827271,1.34514493542875,6.91061919957423,7.04031765042129,37.5874312336707,191.635131893041,198.274589739601,1185.1427245907,-106.395546074453,0.153809464788439,-0.899194612340063,0.063723619923118,0.656146860870455,0.94803475288069,-0.203967891617724,0.226940104166667,-1.22248658036466,0,88.1080307772853,0,3.296845092525707,7.049313342067232,10.255731731523092,88.1080307772853
117,0.07931661605835,3.58043268670218,4.05456658345742,5.40915967629862,36.4027713612469,181.417624102729,187.163406383467,1118.72807138975,-66.4146532009449,0.278226462207905,1.56861202106678,0.191182462633367,1.60696269009362,1.53029103309367,7.34091176790301,0.291002604166667,0.807680700256705,0,101.184607184857,0,3.1118249838350747,7.2375033560924225,7.832445703910856,101.184607184857
118,0.095386981964111,0.271420760417629,20.6316931775603,20.6334784416534,20.7399327810377,129.425757295277,132.119924277225,789.717770876587,-329.010300513167,0.28851835529989,0.107896202186769,0.220798134533292,0.310479179549554,0.220781101938787,-13.7283925352369,0.216731770833333,-0.778626514897779,0,103.729698123238,0,2.2239077632198625,10.95573318114172,14.232962072782128,103.729698123238
119,0.16899299621582,8.92032133264252,8.78349950332459,12.5188656116479,40.8378503262478,151.560176043655,161.239609977063,963.774283588854,174.056512712267,0.214604811189715,-0.437376375147404,0.45906075968818,1.40989644831555,0.269931598104864,0.290843391540955,0.089114583333333,-0.755162582815092,0,89.6668020821586,0,3.376039026645079,12.065966549882887,13.375913842215011,89.6668020821586
120,0.079118967056275,3.4217544899328,0.738957889792113,3.50063744941707,34.89393443655,149.698002161378,157.081466547688,938.919896349421,-24.854387239433,0.149742616953076,-0.819805877780303,0.329208712516121,-1.6412252586627,0.0,-3.41171792489242,0.102083333333333,0.16391455149782,0,98.1588880547724,0,3.310774743909084,8.223867270741732,8.438275645816042,98.1588880547724
121,0.08170223236084,1.95885205464214,23.6971762722072,23.77799959307,20.7586379547651,89.9811179554163,93.9012958931093,561.274330732508,-377.645565616913,0.168171002860066,0.225555475958128,0.086800284754907,-2.96697435010846,0.63495886071822,7.77162192966661,0.059049479166667,-0.526715769241245,0,102.606745369848,0,3.470063343980683,11.581178685268323,16.10813761944302,102.606745369848
122,0.082073450088501,1.86163097710392,31.7598086812484,31.8143225193373,5.45647548925562,10.3561403037042,12.5634279692235,75.0951257707767,-486.179204961731,0.025016637416271,-1.74422258707817,0.00101239044106,-1.0452575616273,0.0,-7.73647092980171,0.0,-0.719471145699282,0,105.566330246566,0,3.051365319552849,17.12222710482652,23.96123006939016,0.0
123,0.172069549560547,0.498558797336223,1.71925202691114,1.79008055864517,4.9589593590205,6.49001122310223,8.92818032313617,53.3662329988688,-21.7288927719079,0.005412936088844,-0.113928939649651,0.003282815772254,0.013194811847839,0.0,0.0,0.0,0.0,0,88.0835734977104,0,2.930424442682487,13.339738874696687,12.875655314017663,0.0
124,0.080835342407227,0.36527683720883,0.38056091804817,0.527497658901869,4.78544500576414,5.75215910906256,8.20966217225904,49.0714488809607,-4.29478411790815,0.010794771424926,0.066577751461351,0.00363513338744,0.00435846010784,0.0,0.0,0.0,0.0,0,96.3709323318069,0,2.4711164641834378,11.659151157641404,6.701576486459767,0.0
125,0.118524074554443,0.320130364316872,0.357137906799369,0.479615402828859,4.30381305186479,4.47507496835284,6.86066525914878,41.0081167153634,-8.0633321655973,0.000205177981203,-0.089345506248678,0.001029297790715,-0.021985707178229,0.0,0.0,0.0,0.0,0,90.008581554538,0,2.478074979026186,11.582787161042855,3.590595944644313,0.0
126,0.078928470611572,0.071148824901046,0.04747012541862,0.085531094299437,4.21562517916667,4.82139280923661,7.09015287852609,42.3798284553591,1.37171173999578,0.007226317958092,0.088955733241577,0.000884141779046,-0.001839083039923,0.0,0.0,0.0,0.0,0,98.6905377030253,0,1.2139074779202617,6.85284593168514,1.838063519471875,0.0
127,0.079563617706299,0.189501865133572,0.342258710487913,0.391218585695965,3.74765114326617,3.50766096499772,5.7676596640706,34.4749163156294,-7.90491213972969,0.004182833935527,-0.03825220760825,0.001974057835965,0.013698673945946,0.0,0.0,0.0,0.0,0,104.12779513535,0,0.7521571029489432,0.5693359375330425,1.11464105258392,0.0
128,0.080202102661133,0.009043343486658,0.103427884146409,0.103822489280602,3.66944333748092,3.37789075728557,5.54100835419424,33.1201579914705,-1.35475832415892,0.00151441751151,-0.033271152943345,0.00306625417232,0.013618051149728,0.0,0.0,0.0,0.0,0,107.489020090233,0,0.4736130013553029,0.2461711089800961,0.609231770932261,0.0
129,0.096253156661987,0.055583822086223,0.09882133311074,0.113380850038693,3.59037875980114,3.90217177647632,5.80041980995223,34.6707328778987,1.55057488642816,0.002088108649239,0.005960231930297,0.00821483053218,0.053489948157655,0.0,0.0,0.0,0.0,0,103.311986726822,0,0.2156062649242034,0.1898231919926102,0.361306310485477,0.0
130,0.101954936981201,0.095511874966633,0.347676590981443,0.360557249512639,3.69109662199883,3.20469649986314,5.35193855366685,31.990034868638,-2.68069800926065,0.00731820731835,0.051298140374265,0.005492764677385,-0.026698715485422,0.0,0.0,0.0,0.0,0,98.5282811512149,0,0.1580281331571191,0.187930928829025,0.360931779999058,0.0
131,0.101978778839111,0.069895951436647,0.054299256579472,0.088509057685173,3.25320843641731,3.27902291907032,5.12977734017179,30.6621151074336,-1.3279197612044,0.005514975783541,-0.017682419375251,0.002425311897204,-0.030079324493779,0.0,0.0,0.0,0.0,0,94.1554974341433,0,0.115830863761093,0.1892967550611954,0.2247204188421155,0.0
132,0.101991891860962,0.098160221992048,0.209863374957152,0.231685272147227,3.17960760508881,3.32160504182616,5.07508538653995,30.3352059910131,-0.326909116420559,0.000682630892151,-0.047379696593702,0.00076268858288,-0.016301524405399,0.0,0.0,0.0,0.0,0,88.8835182894288,0,0.0841208434289752,0.1628176879550432,0.2282028454946712,0.0
133,0.17055344581604,0.115249350557847,0.520236806456149,0.53284964820829,3.90786535033912,3.39820733781397,5.73474798023872,34.2781939686126,3.94298797759955,0.004274357380964,0.021059243169367,0.002215947359884,0.008520840901519,0.0,0.0,0.0,0.0,0,72.9952621929526,0,0.090420918522804,0.2461794724169911,0.3805262468514806,0.0
134,0.079981327056885,0.064173051575353,0.253635025241768,0.261627419392321,3.22057433820785,2.86337331799777,4.7291197467438,28.2672725180387,-6.01092145057388,0.000417628570252,-0.048220365335646,0.001516784518761,-0.008741575900906,0.0,0.0,0.0,0.0,0,72.710788128635,0,0.0725168023002012,0.2771422108431968,0.3210768331219008,0.0
135,0.08339262008667,0.119471735753685,0.131850233848922,0.177926894566318,3.46767631718613,2.99286513176318,5.24881342285799,31.3736270946459,3.10635457660719,0.003549532131025,0.037556123761529,0.005157426622844,0.04365664611927,0.0,0.0,0.0,0.0,0,66.26120541909,0,0.0882922869097765,0.2339769394166926,0.2495018638441094,0.0
136,0.082671165466309,0.280751874702817,0.104714996076492,0.299644531991568,2.9902133747499,3.27530032973176,4.96365791409752,29.6691727970566,-1.70445429758935,0.005882179245272,0.028215969874011,0.006421934655337,0.015295635731767,0.0,0.0,0.0,0.0,0,56.79441694606,0,0.12045915156929,0.2440600873160966,0.2745731979178387,0.0
137,0.105667352676392,0.239298541310606,0.097830608754037,0.258523925164711,3.46962300312782,2.93126164063977,5.06329249387386,30.2647165704401,0.595543773383483,0.004083797792176,-0.017019272344255,0.001285469305015,-0.0486097665951,0.0,0.0,0.0,0.0,0,43.8881412973734,0,0.1410001039041432,0.2216535340754735,0.2665485615412748,0.0
138,0.08979606628418,0.135377824635631,0.113393429847973,0.176593389841644,3.15047962981946,3.04508157758115,4.84661034090128,28.9695466876963,-1.29516988274374,0.000311685877483,-0.04200754076192,0.000216663288924,-0.011902592845318,0.0,0.0,0.0,0.0,0,32.8223908649156,0,0.1503546572182838,0.1402848587538384,0.2215709756914594,0.0
139,0.101919412612915,0.226098591528609,0.077255771750666,0.238933102269258,3.21413853113279,3.05153191230012,5.04007693634867,30.1259506845318,1.15640399683552,0.002608095721882,0.022531623618368,0.001968191053397,0.01718541855344,0.0,0.0,0.0,0.0,0,23.0589939099437,0,0.1686315671520783,0.105009008055618,0.2302520389803587,0.0
140,0.100094556808472,0.218888810803248,0.292436553580726,0.365282697872528,3.53778547780252,2.54552944801949,4.76163048818728,28.4615983201669,-1.66435236436492,0.003392949034682,0.007841118816296,0.001756053851472,-0.002119368012498,0.0,0.0,0.0,0.0,0,15.4392659399625,0,0.1834372043299927,0.1371262720019788,0.2977673684264433,0.0
141,0.15806770324707,0.07011124619892,0.055737528767183,0.089567064017071,3.64717017587324,2.96632545906194,5.27474841167883,31.5286477826409,3.06704946247398,0.001699547213175,-0.010713142449223,0.013026832308656,0.071303487212478,0.0,0.0,0.0,0.0,0,15.4392659399625,0,0.1842855178476451,0.127330778540117,0.1936672162217571,0.0
142,0.078696727752686,0.022080492855968,0.058099607406103,0.062153942316684,3.76993171667311,2.92607973598056,5.16030724518967,30.8446008957634,-0.68404688687755,0.00237641279795,0.00860093683822,0.001772001115454,-0.14301523728625,0.0,0.0,0.0,0.0,0,10.3352006266417,0,0.1703724831479712,0.1193845782705302,0.1279105792692206,0.0
143,0.083192586898804,0.224648603259926,0.195471654052564,0.297785430276031,3.74710578983591,3.31887018644094,5.56495531308852,33.2632956680982,2.41869477233488,0.004496735437744,0.025486917991535,3.85522601592685e-05,-0.020836578352865,0.0,0.0,0.0,0.0,0,6.93020041776111,0,0.1623577300847011,0.1358002231114484,0.2128480047726257,0.0
144,0.08617115020752,0.425508105682544,0.26775994860115,0.502745003034776,3.32480868243593,2.60870889314716,4.63339193273299,27.6950805772314,-5.56821509086684,0.001180958535452,-0.038478967662684,0.002141882825876,0.024408755838253,0.0,0.0,0.0,0.0,0,4.65881694517407,0,0.1889590964235494,0.1739010584815452,0.3577965039037009,0.0
145,0.152517795562744,0.360209323345644,0.101895016684323,0.374343894100364,3.23908824963905,3.32474787777191,5.11159627041939,30.5534417642148,2.85836118698345,0.002115195548235,0.006125429556176,0.003014773599055,0.005723206068895,0.0,0.0,0.0,0.0,0,3.10587796344938,0,0.2210778819535513,0.1357927511022645,0.3660701990020324,0.0
