c,time,vx,vy,V_net,ent,delta_entropy,div,delta_div,curl,delta_curl,theta,delta_theta,area,delta_area
585,0.081590414,0.247606467,0.076069886,0.259028164,205.9090894,-0.946160888,0.218879801,-0.089737303,0.057971331,0.003064015,0.29870498,-0.248899228,0.162460938,-0.045642106
586,0.081959486,0.256201427,0.121716201,0.283644152,204.6925444,-1.216544993,0.215410597,-0.042328275,0.047134265,-0.132224673,0.288600018,-0.123292159,0.162591146,0.001588691
587,0.081050873,0.014089777,0.275825573,0.276185207,205.3802968,0.68775236,0.22306562,0.094447131,0.045588419,-0.019072535,0.316504438,0.34428278,0.165143229,0.031487426
588,0.080781698,0.022409617,0.139651817,0.1414384,202.9768223,-2.403474418,0.215016205,-0.09964404,0.04501823,-0.007058389,0.284070893,-0.401496206,0.15578125,-0.115892329
589,0.081962824,0.163516285,0.161618731,0.22990909,204.7567989,1.779976549,0.217760259,0.033479254,0.058282889,0.161837499,0.289100276,0.061361767,0.160065104,0.05226582
590,0.082738161,0.080005085,0.123706954,0.147323536,203.4475514,-1.309247475,0.21751415,-0.002974558,0.047643074,-0.128596219,0.332936074,0.529813539,0.165299479,0.063264338
591,0.085111618,0.435267774,0.010952585,0.435405551,202.6389889,-0.808562551,0.212683338,-0.056758552,0.050288614,0.031083183,0.30473125,-0.331386305,0.163346354,-0.022947807
592,0.079344273,0.020123185,0.204237721,0.205226677,207.2771321,4.638143218,0.225362085,0.159794106,0.047664406,-0.033073692,0.278466083,-0.331027884,0.163867188,0.006564221
593,0.078383207,0.06417632,0.394313257,0.399501621,204.5823395,-2.694792621,0.219706144,-0.072157561,0.060683337,0.166093374,0.34400744,0.836165801,0.157695313,-0.078739761
594,0.081065893,0.139854141,0.245915848,0.28290243,209.6987988,5.116459323,0.230643855,0.134923712,0.045077304,-0.192510469,0.272159549,-0.886290012,0.162395833,0.057983952
595,0.079373598,0.000237506,0.043506395,0.043507043,208.0186962,-1.68010256,0.226664494,-0.05013457,0.049268638,0.052805137,0.32303399,0.640949164,0.159440104,-0.03723819
596,0.0791471,0.172253151,0.046548169,0.178431724,205.8878085,-2.130887682,0.221636666,-0.063525106,0.050466799,0.015138407,0.332490989,0.119486359,0.155286458,-0.052480076
597,0.079107046,0.091507644,0.016559896,0.092993973,209.6706539,3.782845402,0.225063453,0.043318351,0.050334533,-0.00167199,0.323202729,-0.11741381,0.162682292,0.093491461
598,0.078040361,0.209236462,0.073910613,0.221906908,204.7742373,-4.896416651,0.219686333,-0.068901779,0.049842049,-0.006310627,0.292078085,-0.398827532,0.165989583,0.042379246
599,0.081099033,0.322961263,0.075288291,0.331620723,206.6612775,1.887040193,0.226460452,0.083528976,0.048561215,-0.015793459,0.353722008,0.760106762,0.15890625,-0.087341773
600,0.077670097,0.049915772,0.302498936,0.306589612,208.7126226,2.051345068,0.219224707,-0.093159989,0.05494771,0.082225913,0.082723478,-3.489097344,0.16515625,0.080468549
601,0.078663588,0.034515429,0.355443202,0.357115086,206.7826602,-1.929962311,0.225327836,0.077585188,0.046545331,-0.106814078,0,-1.051610796,0.156445313,-0.110736591
602,0.077519178,0.012161533,0.17743102,0.177847322,208.9947821,2.212121897,0.233709437,0.10812293,0.044597718,-0.025124277,0.280668747,3.620636248,0.162565104,0.078945518
603,0.083564281,0.398963597,0.021148726,0.399523742,207.1193409,-1.875441284,0.223736948,-0.119339126,0.053870437,0.110965103,0.34598246,0.781598449,0.163111979,0.006544363
604,0.101322651,0.42121244,0.256376197,0.493101079,201.2047005,-5.914640407,0.210744902,-0.128224502,0.050188433,-0.036339392,0.312457976,-0.330868602,0.163242188,0.001285086
605,0.078814983,0.281330689,0.173611871,0.330587414,207.4268579,6.222157437,0.229088011,0.232736315,0.03591586,-0.181089591,0.276202793,-0.460003687,0.164466146,0.015529513
606,0.080096006,0.328302241,0.037166787,0.330399352,205.2475911,-2.179266781,0.225323815,-0.046996051,0.049638845,0.171331705,0.368290905,1.149721641,0.161080729,-0.042266985
607,0.079550028,0.028449243,0.046630522,0.05462385,208.6677694,3.420178315,0.228910935,0.04509264,0.053410848,0.047416738,0.325154983,-0.542248986,0.157591146,-0.043866526
