c,time,vx,vy,V_net,ent,delta_entropy,div,delta_div,curl,delta_curl,theta,delta_theta,area,delta_area
157,0.095059395,0.175013561,0.182387825,0.252774732,176.924269,-4.482641797,0.177596134,-0.050380284,0.02989239,-0.002013085,0.253758629,1.220224824,0.134010417,0.042325511
158,0.089221478,0.258376729,0.079772382,0.270411108,179.6076089,2.683339868,0.174106473,-0.039112339,0.04038137,0.117561159,0.241647794,-0.135739014,0.128033854,-0.066985693
159,0.092692375,0.20061764,0.115166949,0.231324153,177.5880864,-2.01952248,0.172084321,-0.021815732,0.041367291,0.01063648,0.271128003,0.318043524,0.125585938,-0.02640904
160,0.08979702,0.293790414,0.028216058,0.295142259,180.9195836,3.331497159,0.180763246,0.096650475,0.029286867,-0.134530347,0.206537454,-0.719295016,0.130351563,0.053071082
161,0.090863228,0.261397209,0.3744256,0.45664322,182.924059,2.004475412,0.176775467,-0.043887706,0.035517125,0.068567432,0.207970624,0.015772824,0.127786458,-0.028230388
162,0.087304831,0.093853079,0.241462671,0.259061039,179.5215716,-3.402487432,0.172514825,-0.048801904,0.026917681,-0.098499062,0.225016541,0.19524598,0.129869792,0.02386275
163,0.091696739,0.418041632,0.333020523,0.534473081,176.6989292,-2.822642336,0.17660878,0.044646679,0.044768302,0.194670188,0.238763767,0.149920554,0.129960938,0.000993992
164,0.093215466,0.339945452,0.051772121,0.343865181,183.6273111,6.92838191,0.182568575,0.06393569,0.030906944,-0.148702341,0.194926896,-0.470274664,0.133658854,0.039670635
165,0.088254213,0.026232269,0.103704331,0.106970651,188.7896631,5.16235197,0.193555789,0.124495066,0.023990518,-0.078369356,0.154737825,-0.455378489,0.1246875,-0.101653551
166,0.085891247,0.32680297,0.160091787,0.363908727,182.4878991,-6.301764003,0.181983754,-0.134728923,0.032500374,0.099077103,0.167671225,0.150578787,0.129075521,0.051088103
167,0.089798212,0.025502245,0.418271672,0.419048394,180.4221081,-2.065790965,0.180013044,-0.021945977,0.027029453,-0.060924618,0.245351169,0.865050003,0.123932292,-0.057275407
168,0.090613127,0.526041744,0.061499476,0.529624491,185.2730901,4.850981984,0.192172494,0.134190821,0.030793503,0.041539786,0.263621372,0.201628665,0.131953125,0.088517344
169,0.088765621,0.336777859,0.29032241,0.44464191,179.3348871,-5.938203029,0.176454175,-0.177076656,0.034654843,0.043500411,0.221869588,-0.470359847,0.12609375,-0.066009508
170,0.088221788,0.004321052,0.279169049,0.279202488,180.7210129,1.386125791,0.179467416,0.034155295,0.043031452,0.094949429,0.23276862,0.123541269,0.123867188,-0.025238238
171,0.088768482,0.059024243,0.264820557,0.27131861,181.4938516,0.772838688,0.180328204,0.009697004,0.040711447,-0.026135453,0.247569096,0.166731201,0.127630208,0.042391407
172,0.092193842,0.135876741,0.087678526,0.161709656,182.1215228,0.627671241,0.182235239,0.020685051,0.038863499,-0.020044167,0.43228599,2.003570845,0.124192708,-0.037285571
173,0.102626085,0.051581608,0.071068275,0.087814361,184.5342967,2.412773929,0.179259156,-0.028999278,0.035000774,-0.037638815,0.303805524,-1.251927955,0.127122396,0.028547201
174,0.094163895,0.18864866,0.03913564,0.192665293,183.3275664,-1.20673039,0.18243229,0.033697988,0.034127806,-0.009270736,0.242891482,-0.646893831,0.129765625,0.028070517
175,0.088735104,0.129376422,0.172841784,0.215899377,177.6779715,-5.649594883,0.181702533,-0.008223997,0.027898604,-0.070199967,0.324279141,0.917197997,0.119453125,-0.11621669
176,0.085175037,0.26573916,0.017596995,0.266321151,181.4688198,3.79084833,0.187780211,0.07135516,0.031898605,0.046962128,0.179419055,-1.700734044,0.132083333,0.148285328
177,0.090995312,0.188555036,0.063640932,0.199005452,182.9073722,1.438552447,0.180967518,-0.074868616,0.034935933,0.033378942,0.275480862,1.055678639,0.120872396,-0.123203463
178,0.09310317,0.1228338,0.199654418,0.234414225,181.6585113,-1.248860948,0.182862531,0.020353897,0.028800867,-0.065895346,0.251997039,-0.252234412,0.122890625,0.021677341
179,0.089897394,0.040791289,0.103213098,0.110981408,186.816482,5.157970725,0.190742776,0.087658218,0.037466177,0.096391116,0.217268794,-0.386309802,0.125195313,0.025636867
180,0.090506554,0.160742587,0.009438061,0.161019428,187.5827427,0.766260703,0.181363449,-0.103631463,0.031276795,-0.068386013,0.213869994,-0.037553086,0.121289063,-0.043159858
181,0.098243952,0.198962497,0.030924813,0.201351482,182.0013076,-5.58143509,0.174956451,-0.065215196,0.034627013,0.034101009,0.133960069,-0.813382636,0.130690104,0.095690793
182,0.094311476,0.081303439,0.10827134,0.135399159,180.7098075,-1.291500155,0.178809218,0.040851522,0.033096193,-0.016231531,0.111025074,-0.243183502,0.130104167,-0.006212791
183,0.096507311,0.250732819,0.129227339,0.282075613,181.2863252,0.576517716,0.179003156,0.002009563,0.030523506,-0.026657953,0.344043615,2.414516976,0.123710938,-0.066246061
184,0.092410564,0.420898299,0.140473502,0.443720839,188.0609424,6.774617191,0.189411016,0.112626303,0.041976614,0.123937214,0.123006525,-2.391902823,0.127265625,0.038466246
185,0.088733673,0.722638012,0.029235249,0.723229145,187.9783045,-0.082637844,0.193023527,0.040711835,0.034210288,-0.08752399,0.307524651,2.079460032,0.125533854,-0.019516501
186,0.089782238,0.138449841,0.2078109,0.249707286,182.5679636,-5.410340972,0.183277311,-0.108553941,0.031422489,-0.031050675,0.217279805,-1.005152565,0.129830729,0.047858854
187,0.091921091,0.390572576,0.295306906,0.489645899,182.265706,-0.302257534,0.174211337,-0.098627789,0.030584866,-0.009112419,0.226143044,0.096422256,0.127682292,-0.023372628
188,0.091273069,0.404010017,0.156199674,0.433154052,185.2895932,3.023887174,0.19195505,0.194402496,0.030305734,-0.003058207,0.184029842,-0.461397885,0.131367188,0.040372213
189,0.106628656,0.260190496,0.194408226,0.324797864,183.7130562,-1.576537032,0.186682083,-0.049451681,0.026985033,-0.031142669,0.228660027,0.418557134,0.124622396,-0.063254963
190,0.10471344,0.014004498,0.048765126,0.050736214,186.6779498,2.964893629,0.189555535,0.027441098,0.039785875,0.122246413,0.204165587,-0.233918783,0.13859375,0.133424651
191,0.100903511,0.008878213,0.085149434,0.085611032,186.0301161,-0.647833694,0.184949547,-0.04564745,0.037449539,-0.023154167,0.80058689,5.910808227,0.126106771,-0.123751682
192,0.106988907,0.117824782,0.116780118,0.16589236,188.4874404,2.457324261,0.18331892,-0.015241084,0.030026399,-0.069382328,0.198102512,-5.631278944,0.128072917,0.0183771
193,0.1089077,0.023641455,0.115504734,0.117899373,185.5050288,-2.98241158,0.18261614,-0.006452988,0.035664675,0.051771136,0.254176663,0.514877746,0.131067708,0.027498438
194,0.117090702,0.240098791,0.292773661,0.378634184,187.0580269,1.552998097,0.190346608,0.066021193,0.023899583,-0.10047844,0.162063759,-0.786679918,0.126875,-0.035807355
195,0.11361289,0.208065117,0.46546193,0.5098489,187.3092682,0.251241336,0.185842942,-0.039640448,0.034082717,0.089630087,0.326235847,1.445012866,0.125013021,-0.016388802
